Unnamed: 0,distinct_id,locationSetting,notificationSettings,active_timespan,US,Facebook,Foodie,Google,Unknown,num_sessions,sessions_per_day,America/New_York,America/Los_Angeles,America/Chicago,Asia/Kolkata,America/Denver,other_timezone,commentAdded,commentLength,churned,number_ratings,SQS,avg_session_duration,time_delta_slope,session_time_slope,time_delta_slope_90,session_time_slope_90,predicted_churned
2804,65227C72-C9EE-4F75-BA15-7606C0C4D395,1,0,0.2931828703703704,1,0,1,0,1,14,0.07777777777777778,0,0,1,0,0,0,0,0.0,1,0.0,19.5,53.1,0.0,71.60000000000002,0.0,0.0,1
823,1CA7DB09-1739-4697-B774-B282D2FAF5C0,1,1,0.3576967592592593,0,0,1,0,1,124,0.6888888888888889,0,0,0,1,0,0,0,0.0,0,0.0,41.0,102.06153846153845,75.45454545454548,15.869230769230773,0.0,0.0,0
1790,3c7346f5-8815-491f-9e80-02d7d28bf27c,1,0,0.0,1,0,1,0,0,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0
3661,82AA96B3-1DA3-4E2F-A71F-50FC29B26C06,1,1,0.0,1,0,1,0,0,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0
4657,A9471481-EA52-4C75-BBEE-8EAB29B4338A,1,1,153.92714120370368,1,0,1,0,1,9,0.05,1,0,0,0,0,0,0,0.0,0,0.0,12.5,30.700000000000006,0.0,-4.800000000000004,0.0,0.0,1
5799,D6F86099-2D2C-47D9-BAC3-B8A66BA2397A,1,1,0.3333333333333333,0,0,1,0,1,3,0.016666666666666666,0,0,0,1,0,0,0,0.0,1,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1
5999,DEC3B420-2136-4F9B-8982-8C02DADF77F7,1,1,0.2937037037037037,1,0,0,1,1,18,0.1,1,0,0,0,0,0,0,0.0,1,0.0,29.0,87.3,0.0,-33.40000000000001,0.0,0.0,1
6319,EBA4E442-46A7-45DD-900D-33BA088B2334,1,0,68.85042824074074,1,1,0,0,1,29,0.16111111111111112,0,1,0,0,0,0,0,0.0,0,0.0,11.833333333333336,36.71666666666667,1183201.1,-1.4942857142857149,0.0,0.0,0
5442,C8B8D75E-0292-46AC-8AC1-BA3726225D9A,1,1,12.085636574074075,1,0,0,1,1,27,0.15,1,0,0,0,0,0,0,0.0,0,0.0,13.5,2377.9500000000007,506524.50000000006,402.68,506524.50000000006,402.68,1
513,1152B738-6C75-472E-9ADD-8D99EB5E6029,1,1,0.3333333333333333,0,0,1,0,1,3,0.016666666666666666,0,0,0,1,0,0,0,0.0,1,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1
6189,E6A1E590-8BE6-42C2-B758-96833FA54D82,1,0,0.0,1,0,1,0,0,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0
2860,67157E0E-7E08-447C-BB6B-FF6E3553827B,1,0,0.0,1,0,1,0,0,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0
5873,D9B58CAC-5C50-463E-9CF1-FCBA59F6DA11,1,1,299.62123842592587,1,0,1,0,1,10,0.05555555555555555,1,0,0,0,0,0,0,0.0,0,0.0,15.0,86.0,0.0,-35.59999999999999,0.0,0.0,1
299,0A235D7D-49DB-475D-9755-4C4EBD2B20C7,1,0,0.2917939814814815,0,0,1,0,1,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,1,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1
