,distinct_id,locationSetting,notificationSettings,active_timespan,average_session_time,US,Facebook,Foodie,Google,Unknown,num_sessions,sessions_per_day,America/New_York,America/Los_Angeles,America/Chicago,Asia/Kolkata,America/Denver,other_timezone,commentAdded,commentLength,churned
83729,00000000-0000-0000-0000-000000000000,1,0,24.20212962962963,,0,0,1,0,0,2,0.011111111111111112,0,0,0,0,0,1,0,0.0,1
84492,000BA5B1-DBEF-414E-ACEC-1A2FCC2053DD,1,1,1.130949074074074,82.27272727272727,1,0,0,1,1,97,0.5388888888888889,0,1,0,0,0,0,0,0.0,0
55831,001210DC-54C8-43AD-B295-148F47818391,1,0,7.158310185185186,47.6,1,0,0,1,1,61,0.3388888888888889,0,0,1,0,0,0,0,0.0,0
102081,0019C3B9-FA62-4AB4-A895-1390A1FA818C,1,1,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
33171,0025A8A4-2590-4ECA-8CE8-419D710AE46F,1,0,113.68736111111112,176.75,1,0,1,0,1,64,0.35555555555555557,1,0,0,0,0,0,0,0.0,0
77423,0038898ed9b23f7e,1,1,0.0,,0,0,1,0,1,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
83631,003BC352-1FE5-462C-883F-932AC209EB93,1,0,211.94559027777777,61.0,1,0,1,0,1,9,0.05,0,1,0,0,0,0,0,0.0,0
92275,00471d582ed13800,1,1,0.0,,1,0,1,0,1,1,0.005555555555555556,0,1,0,0,0,0,0,0.0,0
60078,00492868-3539-4228-AF7E-04AF74447A65,1,1,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
28422,004C9C76-A530-422A-BA1B-667CDA12A08D,1,0,6.605902777777778,25.4,1,0,0,1,1,26,0.14444444444444443,1,0,0,0,0,0,0,0.0,0
80765,005144D7-BD3F-405B-9621-5FACA6B1AC04,1,0,197.6384837962963,61.8,1,0,1,0,1,14,0.07777777777777778,0,0,1,0,0,0,0,0.0,0
84035,0056EDD0-44AF-4850-AA3C-C8D339CBF828,1,1,0.3333333333333333,,0,0,1,0,1,3,0.016666666666666666,0,0,0,1,0,0,0,0.0,1
93349,006305e5-1c05-4a8b-b33e-c8cf243cfd6d,1,0,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
95930,0067F884-89DD-4F22-9895-FB6B4EBF06E3,1,0,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
47793,00708931-5C43-412D-9ECB-6A8839F38179,1,1,0.2941898148148148,72.0,1,0,1,0,1,23,0.12777777777777777,0,1,0,0,0,0,0,0.0,1
60476,0077EEAD-0EC1-4048-9FD7-1DBB185F9E00,1,0,0.3333333333333333,,0,0,1,0,1,3,0.016666666666666666,0,0,0,1,0,0,0,0.0,1
70131,00782604-A3A7-4434-8167-3C05AD24637D,1,0,247.41452546296296,71.8888888888889,1,0,1,0,1,27,0.15,0,1,0,0,0,0,0,0.0,0
100287,007AAF5D-CBD7-4361-9117-80B121E6E0F0,1,0,0.33383101851851854,32.0,0,0,1,0,1,5,0.027777777777777776,0,0,0,1,0,0,0,0.0,1
34274,00861508-53FF-4D0A-BB62-D9B35381886C,1,0,0.334849537037037,21.0,1,0,1,0,1,16,0.08888888888888889,0,1,0,0,0,0,0,0.0,1
95691,009B5434-19AE-47C6-B1EC-642E7754A29D,1,1,151.64707175925926,71.0,2,0,1,0,1,2,0.011111111111111112,1,0,0,0,0,0,0,0.0,0
93298,00B1E414-C14A-4B01-8B09-7140250F8E0F,1,0,154.4895949074074,58.5,2,0,1,0,1,4,0.022222222222222223,1,0,0,0,0,0,0,0.0,0
94279,00B8B338-93B1-494F-8BE9-009A5AC4ED0E,1,1,147.68265046296295,66.0,2,0,1,0,1,4,0.022222222222222223,1,0,0,0,0,0,0,0.0,1
63484,00B90ED7-E90A-45B7-A675-F14A36F86A68,1,0,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
73879,00B995AA-1601-4A3A-833A-A30D42C8B397,1,1,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
94726,00C56504-B56D-478A-A35D-1649AECBC77A,1,0,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
84625,00CE2C99-8AC3-433E-8611-944CAC725EA5,1,1,151.03979166666667,48.25,1,0,1,0,1,26,0.14444444444444443,0,1,0,0,0,0,0,0.0,0
161111,00D88292-02E5-4966-8079-DB96622C3970,1,0,187.98811342592592,90.54545454545456,1,0,1,0,1,80,0.4444444444444444,0,0,1,0,0,0,4,2.25,0
71918,00D8C972-50AE-4E77-8854-5FA31A1D8814,1,0,254.52332175925926,25.5,1,0,1,0,1,3,0.016666666666666666,1,0,0,0,0,0,0,0.0,0
67333,00E28403-47E5-4616-A7BD-0464918790E8,1,0,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
95603,00E324A9-57E2-408F-8256-156241EBA783,1,0,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
95734,00E3AA4B-FCAC-4197-A767-57802EF9C03C,1,0,88.58913194444445,27.5,1,0,1,0,1,21,0.11666666666666667,0,1,0,0,0,0,0,0.0,1
86754,00F975B5-34ED-4BE1-AC5B-C7577882EA56,1,0,151.0582986111111,116.3,1,0,1,0,1,25,0.1388888888888889,0,1,0,0,0,0,0,0.0,0
65439,00d4b8b407679e94,1,1,6.232905092592593,,1,0,1,0,1,15,0.08333333333333333,1,0,0,0,0,0,0,0.0,1
73197,01056A86-4C10-4F73-860F-1B21CD0BA651,1,0,0.3333333333333333,,0,0,1,0,1,3,0.016666666666666666,0,0,0,1,0,0,0,0.0,1
94709,010C1FEB-F405-40CF-9D1A-431C4927EE1D,1,1,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
62261,0111f0fd-4aa6-4031-82a4-fd72a583e9fd,1,0,0.0020833333333333333,,0,0,1,0,0,3,0.016666666666666666,0,0,0,0,0,1,0,0.0,1
101620,011612AE-E218-4B09-9748-B8F88A98D80B,1,1,0.3333333333333333,,0,0,1,0,1,3,0.016666666666666666,0,0,0,1,0,0,0,0.0,1
100267,01195431-5FE0-46CB-8EE9-DFF4EBFA54E7,1,1,205.15560185185186,38.16666666666666,1,0,1,0,1,31,0.17222222222222222,0,1,0,0,0,0,0,0.0,0
8128,0127D3CF-D6AB-4802-9255-957D80611839,1,1,0.3334375,359.0,0,0,1,0,1,44,0.24444444444444444,0,0,0,0,0,1,0,0.0,0
92384,0128C6B8-B2B6-4AAB-B182-C061D70DA07B,1,1,0.3333333333333333,,0,0,1,0,1,3,0.016666666666666666,0,0,0,1,0,0,0,0.0,1
64245,012FE340-BFC1-4485-A537-CA96C7D053DB,1,0,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
174116,01301A7F-CD6D-47AA-B975-503694662ED2,1,0,37.711342592592594,77.625,1,0,0,1,1,50,0.2777777777777778,0,0,1,0,0,0,0,0.0,0
107938,01337E00-B809-4076-BEB4-FCA058E95E9F,1,1,0.3333333333333333,,0,0,1,0,1,3,0.016666666666666666,0,0,0,1,0,0,0,0.0,1
94182,013C3F6A-8B54-4CF5-A0E3-E801EDB30D7A,1,0,152.81078703703704,11.0,2,0,1,0,1,4,0.022222222222222223,1,0,0,0,0,0,0,0.0,0
62945,015CA5D1-7E4C-413B-9D9B-16A23D0FC0F1,1,1,20.52888888888889,44.714285714285715,1,0,1,0,1,18,0.1,0,1,0,0,0,0,0,0.0,1
85305,015E691D-9082-4A1C-BE29-416933E0DA26,1,0,233.15266203703703,259.7142857142857,0,0,1,0,1,10,0.05555555555555555,0,0,0,0,1,0,0,0.0,0
85442,0162DD22-B60F-49DC-BD3B-D221266F3DB9,1,1,441.27571759259257,62.5,1,0,1,0,1,21,0.11666666666666667,0,0,1,0,0,0,0,0.0,0
65159,01639519-2878-44E9-A5A7-4A9CD8A167FE,1,1,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
65785,01650CB1-517D-4DE3-844F-194BD24BAB6E,1,0,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
58677,016B4250-4785-481D-A997-426B4AB12D60,1,1,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
75643,017D36AA-73F0-45A7-B638-6907FB9E07EB,1,1,0.2916666666666667,,0,0,1,0,1,5,0.027777777777777776,0,0,0,1,0,0,0,0.0,1
161157,01838FA1-523C-4C2D-8D3C-0A2E68355CA8,1,0,22.20548611111111,55.42857142857143,1,0,1,0,1,36,0.2,0,0,1,0,0,0,0,0.0,0
88973,018CACF0-978B-4B25-949F-CB2DA6C4433B,1,0,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
84920,018d6b0d-7f45-4db3-b812-8ea36eed92c4,1,1,127.11342592592592,,0,0,1,0,0,6,0.03333333333333333,0,0,0,0,0,1,0,0.0,1
92987,019d6536-17f5-4496-93b0-4a8c475b8d2f,0,1,0.0011805555555555556,,0,0,1,0,0,4,0.022222222222222223,0,0,0,0,0,1,0,0.0,1
163668,01A0296F-17C9-4369-AA6E-D3536C94B986,1,0,206.98506944444443,145.85714285714286,1,0,1,0,1,212,1.1777777777777778,0,1,0,0,0,0,1,0.22641509433962265,0
179161,01BB20C7-F833-4854-841E-FCA679961164,1,0,36.124143518518515,36.833333333333336,1,0,1,0,1,39,0.21666666666666667,0,1,0,0,0,0,0,0.0,0
183255,01C208D2-609E-41A5-852E-FE20E8A813B3,1,0,0.29270833333333335,33.0,1,1,0,0,1,13,0.07222222222222222,0,1,0,0,0,0,0,0.0,1
78811,01C9615C-9172-4E63-9C21-DA6691A5BCB1,1,0,0.0,,0,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
34698,01D12270-C9D2-4E3A-A707-4B96A844A4FA,1,1,0.5217939814814815,36.6,1,0,1,0,1,29,0.16111111111111112,0,0,1,0,0,0,0,0.0,0
102041,01DC3FFB-84F6-4A56-81DD-EDC06E19C8E7,1,0,0.3333333333333333,,1,0,1,0,1,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,1
74193,01DDF91B-1CC0-4832-AE11-0A490EAC9C5E,1,0,98.65681712962963,47.33333333333334,1,1,0,0,1,27,0.15,1,0,0,0,0,0,0,0.0,0
101235,01E86A37-035F-45F5-9D73-860636AC8C06,1,0,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
184668,01E88659-C4E0-4B01-B6F4-955566DF0199,1,0,188.61253472222222,32.5,1,1,0,0,1,25,0.1388888888888889,0,0,1,0,0,0,0,0.0,0
58687,01ECD726-E672-43C0-9DD7-1D421A9B115D,1,1,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
100698,0204ABB3-176E-4900-9BBD-1A5745DF08C2,1,1,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
68970,0211176B-E3E2-40D3-8716-79D7685E6388,1,0,0.3333333333333333,,0,0,1,0,1,3,0.016666666666666666,0,0,0,1,0,0,0,0.0,1
100383,0221EC10-EE44-44F8-9DB9-0972BD81C04A,1,1,0.2917824074074074,10.0,1,0,1,0,1,3,0.016666666666666666,0,1,0,0,0,0,0,0.0,1
91728,022DBE94-1738-4216-8072-035FBBBE0BA9,1,0,0.3008449074074074,97.0,1,0,0,1,1,28,0.15555555555555556,1,0,0,0,0,0,0,0.0,0
83151,024E59D9-AEB7-41F8-A471-F256ECA4231C,1,0,140.68113425925927,68.0,1,0,1,0,1,2,0.011111111111111112,1,0,0,0,0,0,0,0.0,1
